,Name,Year,Salaries,Rank
6217,Paul Shirley,2003,29832,451
6218,LeBron James,2003,NA,605
6219,Darko Milicic,2003,NA,606
6220,Carmelo Anthony,2003,NA,607
6221,Chris Bosh,2003,NA,608
6222,Dwyane Wade,2003,NA,609
6223,Chris Kaman,2003,NA,610
6224,Kirk Hinrich,2003,NA,611
6225,TJ Ford,2003,NA,612
6226,Mike Sweetney,2003,NA,613
6227,Jarvis Hayes,2003,NA,614
6228,Nick Collison,2003,NA,615
6229,Mickael Pietrus,2003,NA,616
6230,Marcus Banks,2003,NA,617
6231,Luke Ridnour,2003,NA,618
6232,Reece Gaines,2003,NA,619
6233,Troy Bell,2003,NA,620
6234,Zarko Cabarkapa,2003,NA,621
6235,David West,2003,NA,622
6236,Aleksandar Pavlovic,2003,NA,623
6237,Dahntay Jones,2003,NA,624
6238,Boris Diaw,2003,NA,625
6239,Zoran Planinic,2003,NA,626
6240,Travis Outlaw,2003,NA,627
6241,Brian Cook,2003,NA,628
6242,Ndudi Ebi,2003,NA,629
6243,Maciej Lampe,2003,NA,630
6244,Kendrick Perkins,2003,NA,631
6245,Leandro Barbosa,2003,NA,632
6246,Josh Howard,2003,NA,633
6247,Oliver Miller,2003,NA,634
6248,Travis Hansen,2003,NA,635
6249,Brandon Hunter,2003,NA,636
6250,Linton Johnson,2003,NA,637
6251,Jason Kapono,2003,NA,638
6252,Jon Stefansson,2003,NA,639
6253,Marquis Daniels,2003,NA,640
6254,Francisco Elson,2003,NA,641
6255,James Jones,2003,NA,642
6256,Josh Moore,2003,NA,643
6257,Luke Walton,2003,NA,644
6258,Theron Smith,2003,NA,645
6259,Jerome Beasley,2003,NA,646
6260,Udonis Haslem,2003,NA,647
6261,Keith McLeod,2003,NA,648
6262,Richie Frahm,2003,NA,649
6263,Keith Bogans,2003,NA,650
6264,Zaza Pachulia,2003,NA,651
6265,Kyle Korver,2003,NA,652
6266,Willie Green,2003,NA,653
6267,Darius Songaila,2003,NA,654
6268,Alex Garcia,2003,NA,655
6269,Ben Handlogten,2003,NA,656
6270,Maurice Williams,2003,NA,657
6271,Steve Blake,2003,NA,658
6272,Paul Grant,2003,NA,659
6273,Matt Carroll,2003,NA,660
6274,Kaniel Dickens,2003,NA,661
6275,Ben Davis,2003,NA,662
6276,Slavko Vranes,2003,NA,663
6277,Shane Heal,2003,NA,664
6278,Britton Johnsen,2003,NA,665
6279,Dwight Howard,2003,NA,666
6280,Emeka Okafor,2003,NA,667
6281,Ben Gordon,2003,NA,668
6282,Shaun Livingston,2003,NA,669
6283,Devin Harris,2003,NA,670
6284,Andres Nocioni,2003,NA,671
6285,Josh Childress,2003,NA,672
6286,Luol Deng,2003,NA,673
6287,Rafael Araujo,2003,NA,674
6288,Andre Iguodala,2003,NA,675
6289,Luke Jackson,2003,NA,676
6290,Andris Biedrins,2003,NA,677
6291,Robert Swift,2003,NA,678
6292,Ibo Kutluay,2003,NA,679
6293,Sebastian Telfair,2003,NA,680
6294,Kris Humphries,2003,NA,681
6295,Al Jefferson,2003,NA,682
6296,Kirk Snyder,2003,NA,683
6297,Josh Smith,2003,NA,684
6298,JR Smith,2003,NA,685
6299,Dorell Wright,2003,NA,686
6300,Jameer Nelson,2003,NA,687
6301,Pavel Podkolzin,2003,NA,688
6302,Viktor Khryapa,2003,NA,689
6303,Delonte West,2003,NA,690
6304,Nenad Krstic,2003,NA,691
6305,Tony Allen,2003,NA,692
6306,Carlos Delfino,2003,NA,693
6307,Kevin Martin,2003,NA,694
6308,Sasha Vujacic,2003,NA,695
6309,Beno Udrih,2003,NA,696
6310,David Harrison,2003,NA,697
6311,Didier Ilunga-Mbenga,2003,NA,698
6312,Anderson Varejao,2003,NA,699
6313,Eddie Gill,2003,NA,700
6314,Matt Barnes,2003,NA,701
6315,Tommy Smith,2003,NA,702
6316,Ronald Dupree,2003,NA,703
6317,Quinton Ross,2003,NA,704
6318,Josh Davis,2003,NA,705
6319,Peter John Ramos,2003,NA,706
6320,Lionel Chalmers,2003,NA,707
6321,Donta Smith,2003,NA,708
6322,Royal Ivey,2003,NA,709
6323,Justin Reed,2003,NA,710
6324,Bernard Robinson,2003,NA,711
6325,Chris Duhon,2003,NA,712
6326,Jared Reiner,2003,NA,713
6327,Arthur Johnson,2003,NA,714
6328,Horace Jenkins,2003,NA,715
6329,Luis Flores,2003,NA,716
6330,Andre Barrett,2003,NA,717
6331,John Edwards,2003,NA,718
6332,Andre Emmett,2003,NA,719
6333,Antonio Burks,2003,NA,720
6334,Trevor Ariza,2003,NA,721
6335,Damien Wilkins,2003,NA,722
6336,Mario Kasun,2003,NA,723
6337,Jackson Vroman,2003,NA,724
6338,Erik Daniels,2003,NA,725
6339,Romain Sato,2003,NA,726
6340,Matt Bonner,2003,NA,727
6341,Pape Sow,2003,NA,728
6342,Matt Freije,2003,NA,729
6343,Corsley Edwards,2003,NA,730
6344,Tony Bobbitt,2003,NA,731
6345,Yuta Tabuse,2003,NA,732
6346,Awvee Storey,2003,NA,733
6347,Geno Carlisle,2003,NA,734
6348,Andrew Bogut,2003,NA,735
6349,Sarunas Jasikevicius,2003,NA,736
6350,Marvin Williams,2003,NA,737
6351,Deron Williams,2003,NA,738
6352,Chris Paul,2003,NA,739
6353,Raymond Felton,2003,NA,740
6354,Martell Webster,2003,NA,741
6355,Arvydas Macijauskas,2003,NA,742
6356,Charlie Villanueva,2003,NA,743
6357,Fabricio Oberto,2003,NA,744
6358,Jose Calderon,2003,NA,745
6359,Channing Frye,2003,NA,746
6360,Ike Diogu,2003,NA,747
6361,Andrew Bynum,2003,NA,748
6362,Yaroslav Korolev,2003,NA,749
6363,Sean May,2003,NA,750
6364,Rashad McCants,2003,NA,751
6365,Antoine Wright,2003,NA,752
6366,Joey Graham,2003,NA,753
6367,Danny Granger,2003,NA,754
6368,Gerald Green,2003,NA,755
6369,Hakim Warrick,2003,NA,756
6370,Julius Hodge,2003,NA,757
6371,Nate Robinson,2003,NA,758
6372,Jarrett Jack,2003,NA,759
6373,Sergey Monya,2003,NA,760
6374,Francisco Garcia,2003,NA,761
6375,Luther Head,2003,NA,762
6376,Johan Petro,2003,NA,763
6377,Jason Maxiell,2003,NA,764
6378,Linas Kleiza,2003,NA,765
6379,Wayne Simien,2003,NA,766
6380,David Lee,2003,NA,767
6381,Salim Stoudamire,2003,NA,768
6382,Ha Seung-Jin,2003,NA,769
6383,James Singleton,2003,NA,770
6384,Daniel Ewing,2003,NA,771
6385,Louis Williams,2003,NA,772
6386,Monta Ellis,2003,NA,773
6387,Ryan Gomes,2003,NA,774
6388,Chris Taft,2003,NA,775
6389,Esteban Batista,2003,NA,776
6390,Orien Greene,2003,NA,777
6391,Alan Anderson,2003,NA,778
6392,Kevin Burleson,2003,NA,779
6393,Eddie Basden,2003,NA,780
6394,Martynas Andriuskevicius,2003,NA,781
6395,Josh Powell,2003,NA,782
6396,Rawle Marshall,2003,NA,783
6397,Alex Acker,2003,NA,784
6398,Amir Johnson,2003,NA,785
6399,Boniface N'Dong,2003,NA,786
6400,Von Wafer,2003,NA,787
6401,Devin Green,2003,NA,788
6402,Anthony Roberson,2003,NA,789
6403,Lawrence Roberts,2003,NA,790
6404,Earl Barron,2003,NA,791
6405,Ersan Ilyasova,2003,NA,792
6406,Bracey Wright,2003,NA,793
6407,Dwayne Jones,2003,NA,794
6408,Brandon Bass,2003,NA,795
6409,Jackie Butler,2003,NA,796
6410,Travis Diener,2003,NA,797
6411,Shavlik Randolph,2003,NA,798
6412,Dijon Thompson,2003,NA,799
6413,Ronnie Price,2003,NA,800
6414,CJ Miles,2003,NA,801
6415,Robert Whaley,2003,NA,802
6416,Andre Owens,2003,NA,803
6417,Andray Blatche,2003,NA,804
6418,Donell Taylor,2003,NA,805
6419,Gerald Fitch,2003,NA,806
6420,John Thomas,2003,NA,807
6421,Aaron Miles,2003,NA,808
6422,Sean Banks,2003,NA,809
6423,James Thomas,2003,NA,810
6424,Sharrod Ford,2003,NA,811
6425,Deng Gai,2003,NA,812
6426,Randy Holcomb,2003,NA,813
6427,Stephen Graham,2003,NA,814
6428,Matt Walsh,2003,NA,815
6429,John Lucas,2003,NA,816
6430,Alex Scales,2003,NA,817
6431,Melvin Sanders,2003,NA,818
6432,Andrea Bargnani,2003,NA,819
6433,Anthony Parker,2003,NA,820
6434,LaMarcus Aldridge,2003,NA,821
6435,Jorge Garbajosa,2003,NA,822
6436,Adam Morrison,2003,NA,823
6437,Tyrus Thomas,2003,NA,824
6438,Shelden Williams,2003,NA,825
6439,Brandon Roy,2003,NA,826
6440,Randy Foye,2003,NA,827
6441,Rudy Gay,2003,NA,828
6442,Patrick O'Bryant,2003,NA,829
6443,Saer Sene,2003,NA,830
6444,JJ Redick,2003,NA,831
6445,Walter Herrmann,2003,NA,832
6446,Vassilis Spanoulis,2003,NA,833
6447,Hilton Armstrong,2003,NA,834
6448,Thabo Sefolosha,2003,NA,835
6449,Ronnie Brewer,2003,NA,836
6450,Cedric Simmons,2003,NA,837
6451,Rodney Carney,2003,NA,838
6452,Shawne Williams,2003,NA,839
6453,Quincy Douby,2003,NA,840
6454,Renaldo Balkman,2003,NA,841
6455,Rajon Rondo,2003,NA,842
6456,Marcus Williams,2003,NA,843
6457,Josh Boone,2003,NA,844
6458,Kyle Lowry,2003,NA,845
6459,Shannon Brown,2003,NA,846
6460,Jordan Farmar,2003,NA,847
6461,Sergio Rodriguez,2003,NA,848
6462,Maurice Ager,2003,NA,849
6463,Mardy Collins,2003,NA,850
6464,James White,2003,NA,851
6465,Mickael Gelabale,2003,NA,852
6466,Mile Ilic,2003,NA,853
6467,James Lang,2003,NA,854
6468,Ime Udoka,2003,NA,855
6469,Solomon Jones,2003,NA,856
6470,Chuck Hayes,2003,NA,857
6471,Ronny Turiaf,2003,NA,858
6472,Lynn Greer,2003,NA,859
6473,Paul Millsap,2003,NA,860
6474,Steve Novak,2003,NA,861
6475,Leon Powe,2003,NA,862
6476,Cedric Bozeman,2003,NA,863
6477,Allan Ray,2003,NA,864
6478,Hassan Adams,2003,NA,865
6479,Ryan Hollins,2003,NA,866
6480,Daniel Gibson,2003,NA,867
6481,Pops Mensah-Bonsu,2003,NA,868
6482,Jose Juan Barea,2003,NA,869
6483,Yakhouba Diawara,2003,NA,870
6484,Ivan McFarlin,2003,NA,871
6485,Will Blalock,2003,NA,872
6486,Paul Davis,2003,NA,873
6487,Alexander Johnson,2003,NA,874
6488,Tarence Kinsey,2003,NA,875
6489,Chris Quinn,2003,NA,876
6490,Robert Hite,2003,NA,877
6491,Damir Markota,2003,NA,878
6492,David Noel,2003,NA,879
6493,Craig Smith,2003,NA,880
6494,Marcus Vinicius,2003,NA,881
6495,James Augustine,2003,NA,882
6496,Bobby Jones,2003,NA,883
6497,PJ Tucker,2003,NA,884
6498,Uros Slokar,2003,NA,885
6499,Brian Chase,2003,NA,886
6500,Roger Powell,2003,NA,887
6501,Kelenna Azubuike,2003,NA,888
6502,Desmon Farmer,2003,NA,889
6503,Justin Williams,2003,NA,890
6504,Andre Brown,2003,NA,891
6505,Jeremy Richardson,2003,NA,892
6506,Chris McCray,2003,NA,893
6507,Andreas Glyniadakis,2003,NA,894
6508,Steven Smith,2003,NA,895
6509,Mike Gansey,2003,NA,896
6510,Mike Hall,2003,NA,897
6511,Pat Carroll,2003,NA,898
6512,Jimmie Hunter,2003,NA,899
6513,Paul Miller,2003,NA,900
6514,Jefferson Sobral,2003,NA,901
6515,Daniel Horton,2003,NA,902
6516,Vincent Grier,2003,NA,903
6517,Luke Schenscher,2003,NA,904
6518,Kevin Pittsnogle,2003,NA,905
6519,Will Conroy,2003,NA,906
6520,Renaldo Major,2003,NA,907
6521,Greg Oden,2003,NA,908
6522,Kevin Durant,2003,NA,909
6523,Al Horford,2003,NA,910
6524,Mike Conley,2003,NA,911
6525,Jeff Green,2003,NA,912
6526,Luis Scola,2003,NA,913
6527,Yi Jianlian,2003,NA,914
6528,Corey Brewer,2003,NA,915
6529,Brandan Wright,2003,NA,916
6530,Joakim Noah,2003,NA,917
6531,Spencer Hawes,2003,NA,918
6532,Acie Law,2003,NA,919
6533,Thaddeus Young,2003,NA,920
6534,Kosta Perovic,2003,NA,921
6535,Julian Wright,2003,NA,922
6536,Al Thornton,2003,NA,923
6537,Rodney Stuckey,2003,NA,924
6538,Nick Young,2003,NA,925
6539,Sean Williams,2003,NA,926
6540,Marco Belinelli,2003,NA,927
6541,Oleksiy Pecherov,2003,NA,928
6542,Javaris Crittenton,2003,NA,929
6543,Jason Smith,2003,NA,930
6544,Daequan Cook,2003,NA,931
6545,Jared Dudley,2003,NA,932
6546,Wilson Chandler,2003,NA,933
6547,Morris Almond,2003,NA,934
6548,Aaron Brooks,2003,NA,935
6549,Arron Afflalo,2003,NA,936
6550,Ian Mahinmi,2003,NA,937
6551,Alando Tucker,2003,NA,938
6552,Randolph Morris,2003,NA,939
6553,Billy Thomas,2003,NA,940
6554,Kyrylo Fesenko,2003,NA,941
6555,Gabe Pruitt,2003,NA,942
6556,Juan Carlos Navarro,2003,NA,943
6557,Mario West,2003,NA,944
6558,Glen Davis,2003,NA,945
6559,Jermareo Davidson,2003,NA,946
6560,Aaron Gray,2003,NA,947
6561,Demetris Nichols,2003,NA,948
6562,JamesOn Curry,2003,NA,949
6563,Nick Fazekas,2003,NA,950
6564,Taurean Green,2003,NA,951
6565,Cheikh Samb,2003,NA,952
6566,Carl Landry,2003,NA,953
6567,Adam Haluska,2003,NA,954
6568,Coby Karl,2003,NA,955
6569,Joel Anthony,2003,NA,956
6570,Ramon Sessions,2003,NA,957
6571,Chris Richard,2003,NA,958
6572,Marcin Gortat,2003,NA,959
6573,Herbert Hill,2003,NA,960
6574,D.J. Strawberry,2003,NA,961
6575,Josh McRoberts,2003,NA,962
6576,Jamario Moon,2003,NA,963
6577,Dominic McGuire,2003,NA,964
6578,Keith Langford,2003,NA,965
6579,Darius Washington,2003,NA,966
6580,Brandon Wallace,2003,NA,967
6581,CJ Watson,2003,NA,968
6582,Courtney Sims,2003,NA,969
6583,Darryl Watkins,2003,NA,970
6584,Thomas Gardner,2003,NA,971
6585,Guillermo Diaz,2003,NA,972
6586,Stephane Lasme,2003,NA,973
6587,Derrick Rose,2003,NA,974
6588,Michael Beasley,2003,NA,975
6589,OJ Mayo,2003,NA,976
6590,Russell Westbrook,2003,NA,977
6591,Kevin Love,2003,NA,978
6592,Marc Gasol,2003,NA,979
6593,Danilo Gallinari,2003,NA,980
6594,Eric Gordon,2003,NA,981
6595,Joe Alexander,2003,NA,982
6596,DJ Augustin,2003,NA,983
6597,Brook Lopez,2003,NA,984
6598,Jerryd Bayless,2003,NA,985
6599,Jason Thompson,2003,NA,986
6600,Brandon Rush,2003,NA,987
6601,Anthony Randolph,2003,NA,988
6602,Goran Dragic,2003,NA,989
6603,Robin Lopez,2003,NA,990
6604,Hamed Haddadi,2003,NA,991
6605,Marreese Speights,2003,NA,992
6606,Roy Hibbert,2003,NA,993
6607,JaVale McGee,2003,NA,994
6608,JJ Hickson,2003,NA,995
6609,Alexis Ajinca,2003,NA,996
6610,Roko Ukic,2003,NA,997
6611,Ryan Anderson,2003,NA,998
6612,Courtney Lee,2003,NA,999
6613,Kosta Koufos,2003,NA,1000
6614,Rudy Fernandez,2003,NA,1001
6615,Nicolas Batum,2003,NA,1002
6616,George Hill,2003,NA,1003
6617,Darrell Arthur,2003,NA,1004
6618,Donte Greene,2003,NA,1005
6619,DJ White,2003,NA,1006
6620,JR Giddens,2003,NA,1007
6621,Joey Dorsey,2003,NA,1008
6622,Kyle Weaver,2003,NA,1009
6623,Luc Mbah a Moute,2003,NA,1010
6624,Will Bynum,2003,NA,1011
6625,Mario Chalmers,2003,NA,1012
6626,DeAndre Jordan,2003,NA,1013
6627,Henry Walker,2003,NA,1014
6628,Mike Taylor,2003,NA,1015
6629,Darnell Jackson,2003,NA,1016
6630,Chris Douglas-Roberts,2003,NA,1017
6631,Othello Hunter,2003,NA,1018
6632,Sean Singletary,2003,NA,1019
6633,Sonny Weems,2003,NA,1020
6634,Walter Sharpe,2003,NA,1021
6635,Anthony Morrow,2003,NA,1022
6636,Sun Yue,2003,NA,1023
6637,Bobby Brown,2003,NA,1024
6638,Nathan Jawai,2003,NA,1025
6639,Rob Kurz,2003,NA,1026
6640,Malik Hairston,2003,NA,1027
6641,Jawad Williams,2003,NA,1028
6642,Anthony Tolliver,2003,NA,1029
6643,Cartier Martin,2003,NA,1030
6644,Trey Johnson,2003,NA,1031
6645,DeMarcus Nelson,2003,NA,1032
6646,Steven Hill,2003,NA,1033
6647,Blake Ahearn,2003,NA,1034
6648,Richard Hendrix,2003,NA,1035
6649,Blake Griffin,2003,NA,1036
6650,Hasheem Thabeet,2003,NA,1037
6651,James Harden,2003,NA,1038
6652,Tyreke Evans,2003,NA,1039
6653,Jonny Flynn,2003,NA,1040
6654,Stephen Curry,2003,NA,1041
6655,Jordan Hill,2003,NA,1042
6656,David Andersen,2003,NA,1043
6657,DeMar DeRozan,2003,NA,1044
6658,Brandon Jennings,2003,NA,1045
6659,Terrence Williams,2003,NA,1046
6660,Gerald Henderson,2003,NA,1047
6661,Tyler Hansbrough,2003,NA,1048
6662,Earl Clark,2003,NA,1049
6663,Austin Daye,2003,NA,1050
6664,James Johnson,2003,NA,1051
6665,Jrue Holiday,2003,NA,1052
6666,Ty Lawson,2003,NA,1053
6667,Jeff Teague,2003,NA,1054
6668,Eric Maynor,2003,NA,1055
6669,Darren Collison,2003,NA,1056
6670,Omri Casspi,2003,NA,1057
6671,Serge Ibaka,2003,NA,1058
6672,BJ Mullens,2003,NA,1059
6673,Rodrigue Beaubois,2003,NA,1060
6674,Taj Gibson,2003,NA,1061
6675,DeMarre Carroll,2003,NA,1062
6676,Wayne Ellington,2003,NA,1063
6677,Toney Douglas,2003,NA,1064
6678,Louis Amundson,2003,NA,1065
6679,DeJuan Blair,2003,NA,1066
6680,Sam Young,2003,NA,1067
6681,Jermaine Taylor,2003,NA,1068
6682,Jodie Meeks,2003,NA,1069
6683,Chris Hunter,2003,NA,1070
6684,Marcus Thornton,2003,NA,1071
6685,Marcus Landry,2003,NA,1072
6686,Derrick Brown,2003,NA,1073
6687,Danny Green,2003,NA,1074
6688,Jonas Jerebko,2003,NA,1075
6689,DaJuan Summers,2003,NA,1076
6690,Chase Budinger,2003,NA,1077
6691,AJ Price,2003,NA,1078
6692,Taylor Griffin,2003,NA,1079
6693,Dante Cunningham,2003,NA,1080
6694,Jeff Ayres,2003,NA,1081
6695,Patrick Mills,2003,NA,1082
6696,Jon Brockman,2003,NA,1083
6697,Wesley Matthews,2003,NA,1084
6698,Lester Hudson,2003,NA,1085
6699,Sundiata Gaines,2003,NA,1086
6700,Garrett Temple,2003,NA,1087
6701,Antonio Anderson,2003,NA,1088
6702,Mike Harris,2003,NA,1089
6703,Cedric Jackson,2003,NA,1090
6704,John Wall,2003,NA,1091
6705,Evan Turner,2003,NA,1092
6706,Derrick Favors,2003,NA,1093
6707,Nikola Pekovic,2003,NA,1094
6708,Wesley Johnson,2003,NA,1095
6709,Timofey Mozgov,2003,NA,1096
6710,Tiago Splitter,2003,NA,1097
6711,DeMarcus Cousins,2003,NA,1098
6712,Ekpe Udoh,2003,NA,1099
6713,Greg Monroe,2003,NA,1100
6714,Al-Farouq Aminu,2003,NA,1101
6715,Gordon Hayward,2003,NA,1102
6716,Paul George,2003,NA,1103
6717,Cole Aldrich,2003,NA,1104
6718,Xavier Henry,2003,NA,1105
6719,Ed Davis,2003,NA,1106
6720,Patrick Patterson,2003,NA,1107
6721,Larry Sanders,2003,NA,1108
6722,Omer Asik,2003,NA,1109
6723,Luke Babbitt,2003,NA,1110
6724,Kevin Seraphin,2003,NA,1111
6725,Eric Bledsoe,2003,NA,1112
6726,Avery Bradley,2003,NA,1113
6727,James Anderson,2003,NA,1114
6728,Craig Brackins,2003,NA,1115
6729,Elliot Williams,2003,NA,1116
6730,Trevor Booker,2003,NA,1117
6731,Damion James,2003,NA,1118
6732,Dominique Jones,2003,NA,1119
6733,Quincy Pondexter,2003,NA,1120
6734,Jordan Crawford,2003,NA,1121
6735,Greivis Vasquez,2003,NA,1122
6736,Daniel Orton,2003,NA,1123
6737,Christian Eyenga,2003,NA,1124
6738,Lazar Hayward,2003,NA,1125
6739,Solomon Alabi,2003,NA,1126
6740,Reggie Williams,2003,NA,1127
6741,Lance Stephenson,2003,NA,1128
6742,Hassan Whiteside,2003,NA,1129
6743,Alonzo Gee,2003,NA,1130
6744,Andy Rautins,2003,NA,1131
6745,Gary Neal,2003,NA,1132
6746,Samardo Samuels,2003,NA,1133
6747,Willie Warren,2003,NA,1134
6748,Gani Lawal,2003,NA,1135
6749,Garret Siler,2003,NA,1136
6750,Pape Sy,2003,NA,1137
6751,Ben Uzoh,2003,NA,1138
6752,Sherron Collins,2003,NA,1139
6753,Semih Erden,2003,NA,1140
6754,Luke Harangody,2003,NA,1141
6755,Manny Harris,2003,NA,1142
6756,Gary Forbes,2003,NA,1143
6757,Terrico White,2003,NA,1144
6758,Jeremy Lin,2003,NA,1145
6759,Devin Ebanks,2003,NA,1146
6760,Derrick Caracter,2003,NA,1147
6761,Ishmael Smith,2003,NA,1148
6762,Patrick Beverley,2003,NA,1149
6763,Dexter Pittman,2003,NA,1150
6764,Da'Sean Butler,2003,NA,1151
6765,Landry Fields,2003,NA,1152
6766,Armon Johnson,2003,NA,1153
6767,Pooh Jeter,2003,NA,1154
6768,Jeremy Evans,2003,NA,1155
6769,Hamady N'Diaye,2003,NA,1156
6770,Jeff Adrien,2003,NA,1157
6771,Zabian Dowdell,2003,NA,1158
6772,Chris Johnson,2003,NA,1159
6773,Darington Hobson,2003,NA,1160
6774,Mustafa Shakur,2003,NA,1161
6775,Matt Janning,2003,NA,1162
6776,Larry Owens,2003,NA,1163
6777,Kyrie Irving,2003,NA,1164
6778,Derrick Williams,2003,NA,1165
6779,Enes Kanter,2003,NA,1166
6780,Tristan Thompson,2003,NA,1167
6781,Ricky Rubio,2003,NA,1168
6782,Jan Vesely,2003,NA,1169
6783,Bismack Biyombo,2003,NA,1170
6784,Brandon Knight,2003,NA,1171
6785,Kemba Walker,2003,NA,1172
6786,Jimmer Fredette,2003,NA,1173
6787,Klay Thompson,2003,NA,1174
6788,Alec Burks,2003,NA,1175
6789,Markieff Morris,2003,NA,1176
6790,Marcus Morris,2003,NA,1177
6791,Kawhi Leonard,2003,NA,1178
6792,Nikola Vucevic,2003,NA,1179
6793,Gustavo Ayon,2003,NA,1180
6794,Iman Shumpert,2003,NA,1181
6795,Chris Singleton,2003,NA,1182
6796,Tobias Harris,2003,NA,1183
6797,Nolan Smith,2003,NA,1184
6798,Kenneth Faried,2003,NA,1185
6799,Reggie Jackson,2003,NA,1186
6800,MarShon Brooks,2003,NA,1187
6801,Jordan Hamilton,2003,NA,1188
6802,JaJuan Johnson,2003,NA,1189
6803,Norris Cole,2003,NA,1190
6804,Cory Joseph,2003,NA,1191
6805,Jimmy Butler,2003,NA,1192
6806,Jeremy Pargo,2003,NA,1193
6807,Chandler Parsons,2003,NA,1194
6808,Tyler Honeycutt,2003,NA,1195
6809,Greg Stiemsma,2003,NA,1196
6810,Jeremy Tyler,2003,NA,1197
6811,Josh Selby,2003,NA,1198
6812,Malcolm Lee,2003,NA,1199
6813,Ryan Reid,2003,NA,1200
6814,Ivan Johnson,2003,NA,1201
6815,E'Twaun Moore,2003,NA,1202
6816,Jordan Williams,2003,NA,1203
6817,Cory Higgins,2003,NA,1204
6818,Julyan Stone,2003,NA,1205
6819,Vernon Macklin,2003,NA,1206
6820,Charles Jenkins,2003,NA,1207
6821,Chris Wright,2003,NA,1208
6822,Travis Leslie,2003,NA,1209
6823,Trey Thompkins,2003,NA,1210
6824,Darius Morris,2003,NA,1211
6825,Andrew Goudelock,2003,NA,1212
6826,Terrel Harris,2003,NA,1213
6827,Jon Leuer,2003,NA,1214
6828,Josh Harrellson,2003,NA,1215
6829,Jerome Jordan,2003,NA,1216
6830,Justin Harper,2003,NA,1217
6831,DeAndre Liggins,2003,NA,1218
6832,Lavoy Allen,2003,NA,1219
6833,Isaiah Thomas,2003,NA,1220
6834,Shelvin Mack,2003,NA,1221
6835,Walker Russell,2003,NA,1222
6836,Lance Thomas,2003,NA,1223
6837,Greg Smith,2003,NA,1224
6838,Mickell Gladness,2003,NA,1225
6839,Jeff Foote,2003,NA,1226
6840,Donald Sloan,2003,NA,1227
6841,Mychel Thompson,2003,NA,1228
6842,Carldell Johnson,2003,NA,1229
6843,Malcolm Thomas,2003,NA,1230
6844,Dennis Horner,2003,NA,1231
6845,Courtney Fortson,2003,NA,1232
6846,Anthony Davis,2003,NA,1233
6847,Michael Kidd-Gilchrist,2003,NA,1234
6848,Bradley Beal,2003,NA,1235
6849,Dion Waiters,2003,NA,1236
6850,Thomas Robinson,2003,NA,1237
6851,Jonas Valanciunas,2003,NA,1238
6852,Mirza Teletovic,2003,NA,1239
6853,Damian Lillard,2003,NA,1240
6854,Alexey Shved,2003,NA,1241
6855,Joel Freeland,2003,NA,1242
6856,Harrison Barnes,2003,NA,1243
6857,Terrence Ross,2003,NA,1244
6858,Andre Drummond,2003,NA,1245
6859,Austin Rivers,2003,NA,1246
6860,Meyers Leonard,2003,NA,1247
6861,Jeremy Lamb,2003,NA,1248
6862,Kendall Marshall,2003,NA,1249
6863,John Henson,2003,NA,1250
6864,Moe Harkless,2003,NA,1251
6865,Royce White,2003,NA,1252
6866,Tyler Zeller,2003,NA,1253
6867,Vyacheslav Kravtsov,2003,NA,1254
6868,Terrence Jones,2003,NA,1255
6869,Andrew Nicholson,2003,NA,1256
6870,Nando De Colo,2003,NA,1257
6871,Evan Fournier,2003,NA,1258
6872,Donatas Motiejunas,2003,NA,1259
6873,Jared Sullinger,2003,NA,1260
6874,Fab Melo,2003,NA,1261
6875,Victor Claver,2003,NA,1262
6876,John Jenkins,2003,NA,1263
6877,Jared Cunningham,2003,NA,1264
6878,Tony Wroten,2003,NA,1265
6879,Miles Plumlee,2003,NA,1266
6880,Arnett Moultrie,2003,NA,1267
6881,Perry Jones,2003,NA,1268
6882,Festus Ezeli,2003,NA,1269
6883,Kyle Singler,2003,NA,1270
6884,Marquis Teague,2003,NA,1271
6885,Draymond Green,2003,NA,1272
6886,Kyle O'Quinn,2003,NA,1273
6887,Quincy Acy,2003,NA,1274
6888,Doron Lamb,2003,NA,1275
6889,Jae Crowder,2003,NA,1276
6890,Jeffery Taylor,2003,NA,1277
6891,Orlando Johnson,2003,NA,1278
6892,Will Barton,2003,NA,1279
6893,Mike Scott,2003,NA,1280
6894,Tyshawn Taylor,2003,NA,1281
6895,Tornike Shengelia,2003,NA,1282
6896,Bernard James,2003,NA,1283
6897,Quincy Miller,2003,NA,1284
6898,Kim English,2003,NA,1285
6899,Khris Middleton,2003,NA,1286
6900,Kent Bazemore,2003,NA,1287
6901,Ben Hansbrough,2003,NA,1288
6902,Robert Sacre,2003,NA,1289
6903,Brian Roberts,2003,NA,1290
6904,Darius Miller,2003,NA,1291
6905,Chris Copeland,2003,NA,1292
6906,Pablo Prigioni,2003,NA,1293
6907,DeQuan Jones,2003,NA,1294
6908,Diante Garrett,2003,NA,1295
6909,Luke Zeller,2003,NA,1296
6910,Kevin Murphy,2003,NA,1297
6911,Kevin Jones,2003,NA,1298
6912,Maalik Wayns,2003,NA,1299
6913,Jarvis Varnado,2003,NA,1300
6914,Micheal Eric,2003,NA,1301
6915,Aron Baynes,2003,NA,1302
6916,Dionte Christmas,2003,NA,1303
6917,Kris Joseph,2003,NA,1304
6918,Scott Machado,2003,NA,1305
6919,Darius Johnson-Odom,2003,NA,1306
6920,Tim Ohlbrecht,2003,NA,1307
